"Date_reported","New_cases","New_deaths","Cumulative_cases","Cumulative_deaths","people_fully_vaccinated","vax_scaled"
2020-12-06,4200839,79445,4200839,79445,809798000,6891611.71055561
2020-12-13,4394481,82462,4394481,82462,809798000,6891611.71055561
2020-12-20,4542432,85690,4542432,85690,809803200,6891655.96403721
2020-12-27,4118122,81791,4118122,81791,809814460,6891751.78984545
2021-01-03,4246641,86299,4246641,86299,809851500,6892067.01079902
2021-01-10,5007618,92351,5007618,92351,811024700,6902051.27707138
2021-01-17,4853319,100970,4853319,100970,813091300,6919638.63189447
2021-01-24,4227124,103719,4227124,103719,816768500,6950932.65161551
2021-01-31,3735931,100661,3735931,100661,823012300,7004069.16862144
2021-02-07,3165479,89292,3165479,89292,831317500,7074748.78696886
2021-02-14,2720814,81496,2720814,81496,841351800,7160143.53897767
2021-02-21,2474264,68436,2474264,68436,853360100,7262337.59342565
2021-02-28,2661476,64006,2661476,64006,866754700,7376329.4558632
2021-03-07,2737571,60483,2737571,60483,881144260,7498788.71138834
2021-03-14,2963243,60687,2963243,60687,899216260,7652586.58052751
2021-03-21,3328321,63183,3328321,63183,918723140,7818595.68729784
2021-03-28,3832510,69086,3832510,69086,940441700,8003426.82102799
2021-04-04,4113875,75435,4113875,75435,963729900,8201616.0383856
2021-04-11,4559074,80379,4559074,80379,994809150,8466109.31109717
2021-04-18,5232835,85910,5232835,85910,1025924100,8730906.40098052
2021-04-25,5695990,91431,5695990,91431,1060798000,9027693.2263774
2021-05-02,5694053,96003,5694053,96003,1100396900,9364691.14803826
2021-05-09,5464575,92233,5464575,92233,1141294300,9712739.6746724
2021-05-16,4812039,87600,4812039,87600,1178822000,10032111.0941995
2021-05-23,4215812,86189,4215812,86189,1215132900,10341127.1990316
2021-05-30,3547504,78604,3547504,78604,1249726600,10635529.4425929
2021-06-06,3006019,68450,3006019,68450,1287384700,10956010.603274
2021-06-13,2647895,71179,2647895,71179,1330895900,11326303.3126415
2021-06-20,2537142,62916,2537142,62916,1377953800,11726779.4495474
2021-06-27,2631879,56074,2631879,56074,1428875400,12160136.7743126
2021-07-04,2760328,53666,2760328,53666,1482949900,12620326.1764135
2021-07-11,3286176,54604,3286176,54604,1543290400,13133841.0238455
2021-07-18,3607142,56310,3607142,56310,1608074900,13685175.577478
2021-07-25,3757104,69633,3757104,69633,1670265600,14214436.1540757
2021-08-01,4144048,65093,4144048,65093,1743241600,14835482.7066598
2021-08-08,4421909,68912,4421909,68912,1811692500,15418019.3689362
2021-08-15,4519943,69697,4519943,69697,1908026900,16237852.5608795
2021-08-22,4599083,71430,4599083,71430,2035253200,17320584.623654
2021-08-29,4568853,70840,4568853,70840,2172254700,18486506.4236136
2021-09-05,4359886,67873,4359886,67873,2304346600,19610646.1287123
2021-09-12,3930802,62608,3930802,62608,2426798600,20652747.5381761
2021-09-19,3685775,60880,3685775,60880,2540385800,21619406.9738492
2021-09-26,3507874,55420,3507874,55420,2637763300,22448117.2439964
2021-10-03,3110823,52399,3110823,52399,2727832600,23214632.649865
2021-10-10,2957292,48356,2957292,48356,2818286300,23984419.4092581
2021-10-17,2883607,46088,2883607,46088,2896048000,24646193.6324011
2021-10-24,3006527,49353,3006527,49353,2985684000,25409021.5318123
2021-10-31,3127850,50888,3127850,50888,3087170000,26272696.307568
2021-11-07,3180305,49217,3180305,49217,3158039000,26875811.6898181
2021-11-14,3477998,50527,3477998,50527,3244966000,27615585.2273712
2021-11-21,3863386,54704,3863386,54704,3334231800,28375262.6193037
2021-11-28,4047356,50183,4047356,50183,3441961500,29292073.0610369
2021-12-05,4273393,53892,4273393,53892,3558435300,30283298.2851704
2021-12-12,4314007,49785,4314007,49785,3677088300,31293069.1222095
2021-12-19,4702827,47352,4702827,47352,3779732500,32166600.5099637
2021-12-26,6090327,46576,6090327,46576,3868020200,32917953.9922124
2022-01-02,10468828,42691,10468828,42691,3941942000,33547049.5722773
2022-01-09,16597488,45642,16597488,45642,4004944400,34083217.9471474
2022-01-16,20661705,52343,20661705,52343,4068931800,34627768.9526673
2022-01-23,23541614,59734,23541614,59734,4132415500,35168033.3276712
2022-01-30,23424524,67836,23424524,67836,4185431600,35619215.4442089
2022-02-06,19928202,75874,19928202,75874,4244374800,36120838.8705172
2022-02-13,15911905,76455,15911905,76455,4304572400,36633137.5982337
2022-02-20,12871674,69615,12871674,69615,4357822500,37086311.1214435
2022-02-27,11049873,59480,11049873,59480,4400880000,37452742.7145411
2022-03-06,10900250,51921,10900250,51921,4436628000,37756968.3799897
2022-03-13,11805470,43777,11805470,43777,4477707000,38106562.374366
2022-03-20,12378386,33818,12378386,33818,4507990000,38364279.3327071
2022-03-27,10998281,46476,10998281,46476,4538747000,38626030.1661021
2022-04-03,9369181,26859,9369181,26859,4581849600,38992845.5730497
2022-04-10,7200182,22874,7200182,22874,4605985300,39198247.2568801
2022-04-17,5697811,19205,5697811,19205,4621673500,39331758.3088184
2022-04-24,4703247,16834,4703247,16834,4640900000,39495381.3019018
2022-05-01,3998913,16264,3998913,16264,4661628400,39671785.891912
2022-05-08,3619137,12906,3619137,12906,4677871600,39810020.1519829
2022-05-15,3964199,11201,3964199,11201,4695441400,39959544.1560335
2022-05-22,3782153,10380,3782153,10380,4710857700,40090741.2615011
2022-05-29,3387015,10336,3387015,10336,4725440000,40214840.7893424
2022-06-05,3259098,9271,3259098,9271,4739672600,40335964.2705459
2022-06-12,3523294,9380,3523294,9380,4759165400,40501853.5525045
2022-06-19,3770613,8837,3770613,8837,4777394700,40656990.0894622
2022-06-26,4592262,10406,4592262,10406,4797227500,40825772.8682948
2022-07-03,5282069,11346,5282069,11346,4817174000,40995523.2665232
2022-07-10,6341962,12476,6341962,12476,4832963600,41129897.2613528
2022-07-17,6978602,14656,6978602,14656,4849084000,41267086.4584351
2022-07-24,7173720,16566,7173720,16566,4865637400,41407960.6088893
2022-07-31,7204705,17727,7204705,17727,4881501700,41542970.3220026
2022-08-07,6945541,17150,6945541,17150,4894246400,41651431.3502684
2022-08-14,5752766,17311,5752766,17311,4904549000,41739109.4117222
2022-08-21,5386339,15976,5386339,15976,4913516000,41815421.136632
2022-08-28,4765784,15191,4765784,15191,4923271000,41898438.9660617
2022-09-04,4289886,13915,4289886,13915,4932282400,41975128.5476221
2022-09-11,3269394,11402,3269394,11402,4939568600,42037136.1856324
2022-09-18,3395804,10731,3395804,10731,4947267000,42102651.7630882
2022-09-25,3218403,10112,3218403,10112,4956764700,42183479.896207
2022-10-02,3230865,10212,3230865,10212,4967916500,42278384.8916179
2022-10-09,3218729,11189,3218729,11189,4978289000,42366657.8219879
2022-10-16,3175701,10882,3175701,10882,4986325000,42435046.4716339
2022-10-23,2897731,11832,2897731,11832,4994231300,42502331.3373253
2022-10-30,2534474,11503,2534474,11503,5002838500,42575581.0617196
2022-11-06,2334637,11166,2334637,11166,5009204000,42629753.2804008
2022-11-13,2489180,9506,2489180,9506,5014993000,42679019.3198235
2022-11-20,2682050,9363,2682050,9363,5023867400,42754542.9923494
2022-11-27,2977627,10217,2977627,10217,5033920000,42840093.4825723
2022-12-04,3237009,10138,3237009,10138,5043988500,42925779.2863255
2022-12-11,4615165,12808,4615165,12808,5051227000,42987380.9837449
2022-12-18,14977514,14699,14977514,14699,5058652700,43050575.806502
2022-12-25,44236227,20316,44236227,20316,5063177000,43089078.8885818
2023-01-01,27732700,32378,27732700,32378,5067325400,43124382.9545589
2023-01-08,10980015,24570,10980015,24570,5075267000,43191968.2333081
2023-01-15,4886948,10895,4886948,10895,5083144000,43259003.7476512
2023-01-22,2514888,9717,2514888,9717,5091839000,43333000.6750619
2023-01-29,1559501,8399,1559501,8399,5097473000,43380947.6203214
2023-02-05,1385657,69688,1385657,69688,5102444500,43423256.501819
2023-02-12,1247359,10105,1247359,10105,5106864600,43460872.8122098
2023-02-19,1145793,8541,1145793,8541,5112602600,43509704.8271014
2023-02-26,1072885,7772,1072885,7772,5117718000,43553238.3385995
2023-03-05,1028478,7005,1028478,7005,5122616300,43594924.2672408
2023-03-12,894852,6342,894852,6342,5128796000,43647515.2749831
2023-03-19,879247,6624,879247,6624,5136644000,43714303.9910634
2023-03-26,833141,6711,833141,6711,5140984000,43751238.6276318
2023-04-02,799538,2539,799538,2539,5146642400,43799393.2238435
2023-04-09,701069,5621,701069,5621,5149936600,43827427.8044388
2023-04-16,694820,5242,694820,5242,5153698300,43859440.9432359
2023-04-23,737620,5273,737620,5273,5156724700,43885196.4695286
2023-04-30,684613,4734,684613,4734,5158860300,43903371.0340115
2023-05-07,609449,4724,609449,4724,5160907300,43920791.58725
2023-05-14,566903,5064,566903,5064,5164745000,43953451.5077013
2023-05-21,371881,2853,371881,2853,5168810500,43988050.0710582
2023-05-28,347048,2732,347048,2732,5173216000,44025542.1312891
2023-06-04,289955,2413,289955,2413,5176149000,44050502.79697
2023-06-11,280589,2389,280589,2389,5178174000,44067736.1239402
2023-06-18,142924,1856,142924,1856,5180093000,44084067.3607086
2023-06-25,205040,1568,205040,1568,5181538000,44096364.7224232
2023-07-02,176487,1141,176487,1141,5182592500,44105338.8178751
2023-07-09,182375,1069,182375,1069,5183783000,44115470.3120767
2023-07-16,201467,932,201467,932,5185120000,44126848.5630195
2023-07-23,250148,942,250148,942,5186201000,44136048.1810219
2023-07-30,316997,1102,316997,1102,5187077000,44143503.190615
2023-08-06,701668,1568,701668,1568,5187831300,44149922.4985329
2023-08-13,133936,1323,133936,1323,5188542000,44155970.7580281
2023-08-20,278605,1682,278605,1682,5189277000,44162225.8174469
2023-08-27,356858,2023,356858,2023,5189945000,44167910.6877759
2023-09-03,340117,1924,340117,1924,5190620700,44173661.0872987
2023-09-10,233205,2277,233205,2277,5191248000,44178999.5890313
2023-09-17,120576,2274,120576,2274,5191853000,44184148.3114101
2023-09-24,136848,2353,136848,2353,5192689700,44191268.8668056
2023-10-01,157489,2527,157489,2527,5193372000,44197075.434209
2023-10-08,167166,2672,167166,2672,5193684000,44199730.6431052
2023-10-15,151097,2567,151097,2567,5194042400,44202780.7292218
2023-10-22,140674,4054,140674,4054,5194424000,44206028.2539486
2023-10-29,142308,2172,142308,2172,5194711600,44208475.8118927
2023-11-05,153021,2371,153021,2371,5194966000,44210640.8283772
2023-11-12,170678,2705,170678,2705,5195310000,44213568.3663909
2023-11-19,203368,2742,203368,2742,5195651000,44216470.3735499
2023-11-26,234130,2686,234130,2686,5196105000,44220334.0429052
2023-12-03,281692,3251,281692,3251,5196561400,44224218.1369443
2023-12-10,332628,3401,332628,3401,5197016600,44228092.0186415
2023-12-17,381717,3554,381717,3554,5197470700,44231956.5390253
2023-12-24,362736,3558,362736,3558,5197870600,44235359.8019663
2023-12-31,265597,3796,265597,3796,5197948400,44236021.9021333
2024-01-07,201581,4201,201581,4201,5197949400,44236030.4124183
2024-01-14,189947,3992,189947,3992,5197950500,44236039.7737317
2024-01-21,137200,3608,137200,3608,5197951500,44236048.2840166
2024-01-28,116333,3013,116333,3013,5197952500,44236056.7943015
2024-02-04,100674,2478,100674,2478,5197953500,44236065.3045865
